time,open,high,low,close,volume,SMA
2016-02-09T00:00:00.000Z,94.290001,95.940002,93.93,94.989998,44331200,96.419999
2016-02-10T00:00:00.000Z,95.919998,96.349998,94.099998,94.269997,42343600,96.274999
2016-02-11T00:00:00.000Z,93.790001,94.720001,92.589996,93.699997,50074700,95.723570
2016-02-12T00:00:00.000Z,94.190002,94.5,93.010002,93.989998,40351400,95.334284
2016-02-16T00:00:00.000Z,95.019997,96.849998,94.610001,96.639999,49057900,95.094998
2016-02-17T00:00:00.000Z,96.669998,98.209999,96.150002,98.120003,44863200,95.430713
2016-02-18T00:00:00.000Z,98.839996,98.889999,96.089996,96.260002,39021000,95.585713
2016-02-19T00:00:00.000Z,96,96.760002,95.800003,96.040001,35374200,95.492857
2016-02-22T00:00:00.000Z,96.309998,96.900002,95.919998,96.879997,34280800,95.524999
2016-02-23T00:00:00.000Z,96.400002,96.5,94.550003,94.690002,31942600,95.539999
2016-02-24T00:00:00.000Z,93.980003,96.379997,93.32,96.099998,36255700,95.522142
2016-02-25T00:00:00.000Z,96.050003,96.760002,95.25,96.760002,27582700,95.533571
2016-02-26T00:00:00.000Z,97.199997,98.019997,96.580002,96.910004,28991100,95.740000
2016-02-29T00:00:00.000Z,96.860001,98.230003,96.650002,96.690002,35216300,95.860000
2016-03-01T00:00:00.000Z,97.650002,100.769997,97.419998,100.529999,50407100,96.255714
2016-03-02T00:00:00.000Z,100.510002,100.889999,99.639999,100.75,33169600,96.718572
2016-03-03T00:00:00.000Z,100.580002,101.709999,100.449997,101.5,36955700,97.275715
2016-03-04T00:00:00.000Z,102.370003,103.75,101.370003,103.010002,46055100,97.920001
2016-03-07T00:00:00.000Z,102.389999,102.830002,100.959999,101.870003,35828900,98.293572
2016-03-08T00:00:00.000Z,100.779999,101.760002,100.400002,101.029999,31561900,98.501429
2016-03-09T00:00:00.000Z,101.309998,101.580002,100.269997,101.120003,27201700,98.848572
2016-03-10T00:00:00.000Z,101.410004,102.239998,100.150002,101.169998,33513600,99.215001
2016-03-11T00:00:00.000Z,102.239998,102.279999,101.5,102.260002,27408200,99.599287
2016-03-14T00:00:00.000Z,101.910004,102.910004,101.779999,102.519997,25076100,100.158572
2016-03-15T00:00:00.000Z,103.959999,105.18,103.849998,104.580002,40067700,100.764287
2016-03-16T00:00:00.000Z,104.610001,106.309998,104.589996,105.970001,38303500,101.422144
2016-03-17T00:00:00.000Z,105.519997,106.470001,104.959999,105.800003,34420700,102.057144
2016-03-18T00:00:00.000Z,106.339996,106.5,105.190002,105.919998,44205200,102.716429
2016-03-21T00:00:00.000Z,105.93,107.650002,105.139999,105.910004,35502700,103.100715
2016-03-22T00:00:00.000Z,105.25,107.290001,105.209999,106.720001,32444400,103.527144
2016-03-23T00:00:00.000Z,106.480003,107.07,105.900002,106.129997,25703500,103.857858
2016-03-24T00:00:00.000Z,105.470001,106.25,104.889999,105.669998,26133000,104.047858
2016-03-28T00:00:00.000Z,106,106.190002,105.059998,105.190002,19411400,104.285000
2016-03-29T00:00:00.000Z,104.889999,107.790001,104.879997,107.68,31190100,104.760000
2016-03-30T00:00:00.000Z,108.650002,110.419998,108.599998,109.559998,45601100,105.362857
2016-03-31T00:00:00.000Z,109.720001,109.900002,108.879997,108.989998,25888400,105.921429
2016-04-01T00:00:00.000Z,108.779999,110,108.199997,109.989998,25874000,106.473571
2016-04-04T00:00:00.000Z,110.419998,112.190002,110.269997,111.120003,37356200,107.087857
2016-04-05T00:00:00.000Z,109.510002,110.730003,109.419998,109.809998,26578700,107.461428
2016-04-06T00:00:00.000Z,110.230003,110.980003,109.199997,110.959999,26404100,107.817857
2016-04-07T00:00:00.000Z,109.949997,110.419998,108.120003,108.540001,31801900,108.013571
2016-04-08T00:00:00.000Z,108.910004,109.769997,108.169998,108.660004,23581700,108.209286
2016-04-11T00:00:00.000Z,108.970001,110.610001,108.830002,109.019997,29407500,108.431428
2016-04-12T00:00:00.000Z,109.339996,110.5,108.660004,110.440002,27232300,108.697143
2016-04-13T00:00:00.000Z,110.800003,112.339996,110.800003,112.040001,33257300,109.119286
2016-04-14T00:00:00.000Z,111.620003,112.389999,111.330002,112.099998,25473900,109.578571
2016-04-15T00:00:00.000Z,112.110001,112.300003,109.730003,109.849998,46939000,109.911428
2016-04-18T00:00:00.000Z,108.889999,108.949997,106.940002,107.480003,60834000,109.897143
2016-04-19T00:00:00.000Z,107.879997,108,106.230003,106.910004,32384900,109.707857
2016-04-20T00:00:00.000Z,106.639999,108.089996,106.059998,107.129997,30611000,109.575000
2016-04-21T00:00:00.000Z,106.93,106.93,105.519997,105.970001,31552500,109.287858
2016-04-22T00:00:00.000Z,105.010002,106.480003,104.620003,105.68,33683100,108.899286
2016-04-25T00:00:00.000Z,105,105.650002,104.510002,105.080002,28031600,108.561429
2016-04-26T00:00:00.000Z,103.910004,105.300003,103.910004,104.349998,56016200,108.089286
2016-04-27T00:00:00.000Z,96,98.709999,95.68,97.82,114602100,107.323572
2016-04-28T00:00:00.000Z,97.610001,97.879997,94.25,94.830002,82242700,106.335714
2016-04-29T00:00:00.000Z,93.989998,94.720001,92.510002,93.739998,68531500,105.244286
2016-05-02T00:00:00.000Z,93.970001,94.080002,92.400002,93.639999,48160100,104.044286
2016-05-03T00:00:00.000Z,94.199997,95.739998,93.68,95.18,56831300,102.840000
2016-05-04T00:00:00.000Z,95.199997,95.900002,93.82,94.190002,41025500,101.560715
2016-05-05T00:00:00.000Z,94,94.07,92.68,93.239998,35890500,100.374286
2016-05-06T00:00:00.000Z,93.370003,93.449997,91.849998,92.720001,43458200,99.320000
2016-05-09T00:00:00.000Z,93,93.769997,92.589996,92.790001,32936400,98.311428
2016-05-10T00:00:00.000Z,93.330002,93.57,92.110001,93.419998,33686800,97.332143
2016-05-11T00:00:00.000Z,93.480003,93.57,92.459999,92.510002,28719100,96.370714
2016-05-12T00:00:00.000Z,92.720001,92.779999,89.470001,90.339996,76314700,95.275000
2016-05-13T00:00:00.000Z,90,91.669998,90,90.519997,44392800,94.234999
2016-05-16T00:00:00.000Z,92.389999,94.389999,91.650002,93.879997,61259800,93.487142
2016-05-17T00:00:00.000Z,94.550003,94.699997,93.010002,93.489998,46916900,93.177856
2016-05-18T00:00:00.000Z,94.160004,95.209999,93.889999,94.559998,42062400,93.158570
2016-05-19T00:00:00.000Z,94.639999,94.639999,93.57,94.199997,30442100,93.191427
2016-05-20T00:00:00.000Z,94.639999,95.43,94.519997,95.220001,32026000,93.304285
