Date,Message
2026-06-01T05:30:00.000+05:30,"OPSHEAD|time,open,high,low,close,volume,macd_line,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,tsi_25_13,triple_ema_9,sma_of_ema_10,ema_of_sma_10,rsi_of_ema_10"
2026-06-02T03:15:00.000+05:30,"OPS|1780350300000,70926.06,71028.01,70889.75,70948.01,5.80145883,-158.3336934339,-125.6979640192,-32.6357294147,71387.3135,71798.4915157055,70976.1354842945,-0.2135067335,71406.7016041192,71397.3317876256,71397.3317394079,19.4113782281"
2026-06-02T03:30:00.000+05:30,"OPS|1780351200000,70948,70948,70742,70879.2,17.36467701,-174.8207615919,-135.5225235337,-39.2982380581,71357.0665,71820.9292255172,70893.2037744828,-0.2389148602,71385.0607784057,71366.7401898755,71366.7401504246,17.3720690109"
2026-06-02T03:45:00.000+05:30,"OPS|1780352100000,70883.95,71235.67,70877.99,71191.26,16.84411089,-160.8520456292,-140.5884279528,-20.2636176763,71335.179,71786.798400771,70883.559599229,-0.2182984227,71361.2784400733,71335.9077917163,71335.9077594383,18.7235271098"
2026-06-02T04:00:00.000+05:30,"OPS|1780353000000,71191.25,71262.76,70985.03,71049.57,8.43713708,-159.377729184,-144.3462881991,-15.0314409849,71306.913,71755.7237258079,70858.1022741921,-0.2139054732,71336.379342946,71302.892738677,71302.8927122677,18.0361833951"
2026-06-02T04:15:00.000+05:30,"OPS|1780353900000,71049.01,71365,71049.01,71311,6.13938317,-135.5515527191,-142.5873411031,7.0357883839,71294.779,71729.1367811274,70860.4212188726,-0.1783646204,71313.2949366733,71272.1682407357,71272.1682191281,23.2679491842"
2026-06-02T04:30:00.000+05:30,"OPS|1780354800000,71311.01,71356.84,71228,71274.14,3.9851245,-118.279972267,-137.7258673359,19.4458950689,71289.5735,71722.2974364762,70856.8495635238,-0.1543479938,71293.2271908772,71242.8309242383,71242.8309065593,26.3574131612"
2026-06-02T04:45:00.000+05:30,"OPS|1780355700000,71284.99,71376,71153.55,71153.55,9.81324891,-113.0199024282,-132.7846743543,19.7647719261,71274.886,71705.1325145983,70844.6394854017,-0.1458977786,71275.6736032809,71215.2602107404,71215.2601962758,26.0232031801"
2026-06-02T05:00:00.000+05:30,"OPS|1780356600000,71156,71482.36,71135.4,71414.99,13.25568328,-86.7551764584,-123.5787747751,36.8235983167,71275.626,71706.7819817629,70844.4700182371,-0.110454458,71262.3473689666,71197.8910815149,71197.8910696802,32.7613089356"
2026-06-02T05:15:00.000+05:30,"OPS|1780357500000,71415,71452,71285.39,71313.86,16.30559698,-73.2560871493,-113.51423725,40.2581501007,71271.2945,71699.0731776964,70843.5158223036,-0.0920783597,71252.9835689497,71188.441066694,71188.4410570111,35.2279777015"
2026-06-02T05:30:00.000+05:30,"OPS|1780358400000,71305.47,71309.61,71160.3,71177,5.53126287,-72.7626572102,-105.363921242,32.6012640318,71263.286,71691.8282115166,70834.7437884834,-0.0896407299,71246.0145019433,71185.3168727496,71185.3168648272,34.3056637147"
2026-06-02T05:45:00.000+05:30,"OPS|1780359300000,71177.01,71212.99,71060,71132.27,4.10673416,-75.1150678595,-99.3141505655,24.199082706,71242.949,71655.5291090527,70830.3688909473,-0.0915462956,71240.0863651912,71186.1108958861,71186.1108894041,32.879887783"
2026-06-02T06:00:00.000+05:30,"OPS|1780360200000,71142.99,71200,71004.91,71084.99,10.73207599,-79.8737363984,-95.4260677321,15.5523313337,71219.6705,71612.2518238316,70827.0891761684,-0.0970635454,71234.0669400302,71190.5021875432,71190.5021822397,31.0550494218"
2026-06-02T06:15:00.000+05:30,"OPS|1780361100000,71070.81,71201.78,71049.31,71186.33,3.45708232,-74.6076933858,-91.2623928628,16.654699477,71203.466,71572.7694199302,70834.1625800698,-0.0910301234,71228.2448999002,71194.0054261717,71194.0054218325,31.035480664"
